.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
10_R1	1	1	0.25	1	0.25	0.5	1	0.5	1	0.5	1
10_R1_001	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
10_R2	1	1	0.5	1	0.25	0.5	1	0.5	1	0.5	1
10_R2_001	1	1	0.5	1	0.25	0.5	1	1	1	0.5	0.25
11_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
11_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
11_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
11_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
12_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
12_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
12_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
12_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
1_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
1_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	0.25
1_R2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
1_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.25
2_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
2_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	0.25
2_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
2_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
3_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
3_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
3_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
3_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
4_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
4_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
4_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
4_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
5_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
5_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	0.25
5_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
5_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
6_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
6_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	0.25
6_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
6_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
7_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
7_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.25
7_R2	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	1
7_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.25
8_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
8_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	0.25
8_R2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
8_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
9_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
9_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.25
9_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
9_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.25
