Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
1	21504871.0	297.0	19853285.0	92.32	297.31	10596046.0	10438759.0	10503408.0	71548.0	11514.0	9576.0	0.25	0.01	2.07	0.01	1.91	1001552.0	4.66	13333.0	0.06	0.0	2.61	0.35	0	561415	75286	96.97999999999999	20854837.0
10	20282700.0	297.0	19311387.0	95.21	297.02	7056249.0	6898858.0	6985871.0	54582.0	6737.0	9059.0	0.27	0.02	2.02	0.01	1.82	678728.0	3.35	5687.0	0.03	0.0	1.28	0.14	0	258612	28286	98.55999999999999	19990115.0
11	18818592.0	297.0	17663039.0	93.86	297.24	10849708.0	10674654.0	10757065.0	73405.0	10950.0	8288.0	0.24	0.01	2.0	0.01	1.85	870754.0	4.63	4092.0	0.02	0.0	1.38	0.11	0	259984	20723	98.49	18533793.0
12	20782509.0	297.0	19528372.0	93.97	297.41	13517120.0	13330529.0	13403031.0	89417.0	14811.0	9861.0	0.24	0.01	1.97	0.01	1.84	1016414.0	4.89	3481.0	0.02	0.0	1.05	0.08	0	217658	16584	98.86	20544786.0
2	17028426.0	297.0	15859075.0	93.13	297.31	10034440.0	9892227.0	9948002.0	66010.0	11055.0	9373.0	0.23	0.01	1.97	0.01	1.83	858891.0	5.04	4529.0	0.03	0.0	1.71	0.09	0	290634	15297	98.17	16717966.0
3	20331273.0	297.0	19103644.0	93.96	297.39	12527729.0	12339437.0	12422332.0	83361.0	12511.0	9525.0	0.24	0.01	2.0	0.01	1.85	987885.0	4.86	3761.0	0.02	0.0	1.07	0.09	0	217674	18309	98.82	20091529.0
4	20049158.0	297.0	18858899.0	94.06	297.31	11515665.0	11345072.0	11416739.0	78153.0	11948.0	8825.0	0.25	0.01	2.01	0.01	1.84	930683.0	4.64	3618.0	0.02	0.0	1.17	0.11	0	233962	21996	98.7	19789582.0
5	18778652.0	297.0	17434387.0	92.84	297.52	12317620.0	12157701.0	12213548.0	82186.0	13170.0	8716.0	0.23	0.01	1.97	0.01	1.82	1110422.0	5.91	2957.0	0.02	0.0	1.13	0.1	0	212115	18771	98.75	18544809.0
6	20240360.0	297.0	18942481.0	93.59	297.39	12854631.0	12669141.0	12744689.0	86577.0	13854.0	9511.0	0.25	0.01	1.97	0.01	1.83	1059779.0	5.24	3331.0	0.02	0.0	1.07	0.09	0	216554	18215	98.83	20002260.0
7	14890028.0	297.0	13770918.0	92.48	296.77	8131100.0	7993686.0	8060037.0	55885.0	8835.0	6343.0	0.24	0.01	2.0	0.01	1.84	688797.0	4.63	3930.0	0.03	0.0	2.75	0.12	0	408555	17828	97.11	14459715.0
8	21396100.0	297.0	20129302.0	94.08	297.37	12631051.0	12437392.0	12520103.0	86612.0	13720.0	10616.0	0.23	0.01	1.99	0.01	1.85	958113.0	4.48	4534.0	0.02	0.0	1.33	0.09	0	284874	19277	98.56	21087415.0
9	18501139.0	297.0	17503131.0	94.61	297.35	10084342.0	9931667.0	9996579.0	68513.0	10662.0	8588.0	0.24	0.01	2.0	0.01	1.86	755794.0	4.09	4003.0	0.02	0.0	1.17	0.12	0	216052	22159	98.7	18258925.0
