Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
1	21.504870999999998	96.97999999999999	92.32	1.001552	297.0	297.31	10.596046	10.438759	10.503408	0.071548	0.011514	0.009576	0.25	0.01	2.07	0.01	1.91
10	20.2827	98.55999999999999	95.21	0.678728	297.0	297.02	7.056248999999999	6.898858	6.9858709999999995	0.054582	0.006737	0.009059	0.27	0.02	2.02	0.01	1.82
11	18.818592	98.49	93.86	0.8707539999999999	297.0	297.24	10.849708	10.674654	10.757064999999999	0.073405	0.01095	0.008288	0.24	0.01	2.0	0.01	1.85
12	20.782508999999997	98.86	93.97	1.016414	297.0	297.41	13.51712	13.330528999999999	13.403030999999999	0.089417	0.014811	0.009861	0.24	0.01	1.97	0.01	1.84
2	17.028426	98.17	93.13	0.858891	297.0	297.31	10.03444	9.892227	9.948001999999999	0.06601	0.011054999999999999	0.009373	0.23	0.01	1.97	0.01	1.83
3	20.331273	98.82	93.96	0.9878849999999999	297.0	297.39	12.527728999999999	12.339437	12.422331999999999	0.08336099999999999	0.012511	0.009524999999999999	0.24	0.01	2.0	0.01	1.85
4	20.049158	98.7	94.06	0.9306829999999999	297.0	297.31	11.515665	11.345072	11.416739	0.078153	0.011948	0.008825	0.25	0.01	2.01	0.01	1.84
5	18.778651999999997	98.75	92.84	1.110422	297.0	297.52	12.31762	12.157701	12.213548	0.082186	0.01317	0.008716	0.23	0.01	1.97	0.01	1.82
6	20.24036	98.83	93.59	1.059779	297.0	297.39	12.854631	12.669141	12.744689	0.086577	0.013854	0.009511	0.25	0.01	1.97	0.01	1.83
7	14.890028	97.11	92.48	0.688797	297.0	296.77	8.1311	7.993685999999999	8.060037	0.055885	0.008834999999999999	0.006343	0.24	0.01	2.0	0.01	1.84
8	21.3961	98.56	94.08	0.958113	297.0	297.37	12.631051	12.437392	12.520102999999999	0.086612	0.01372	0.010615999999999999	0.23	0.01	1.99	0.01	1.85
9	18.501139	98.7	94.61	0.755794	297.0	297.35	10.084342	9.931667	9.996578999999999	0.06851299999999999	0.010662	0.008588	0.24	0.01	2.0	0.01	1.86
